date,Exports -  GWh,Imports -  GWh,Gas (OCGT) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Gas (OCGT) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-07-03,-9.90,0.00,1.09,43.88,0.63,0.50,12.20,7.01,3.70,155.40,0.00,722.50,15.67,58.11,62382.00,2547133.00,36045.00,26914.00
2023-07-04,-10.31,0.00,1.05,43.81,1.17,0.19,9.50,6.97,4.90,149.70,0.00,697.90,15.27,55.42,58343.00,2428691.00,64110.00,10329.00
2023-07-05,-5.76,0.71,0.06,37.35,1.12,0.26,11.60,8.28,5.80,7.63,536.90,38.17,16.82,51.61,3168.00,2012393.00,54522.00,8361.00
2023-07-06,-2.65,5.15,0.00,26.33,4.34,0.37,14.10,9.66,6.20,0.00,3061.00,0.00,91.26,18.97,0.00,696343.00,80669.00,1792.00
2023-07-07,-2.09,2.69,0.00,25.33,6.91,0.40,14.80,9.89,6.90,0.00,1519.00,0.00,45.72,3.58,0.00,156558.00,18913.00,-3791.00
2023-07-08,-2.10,4.76,0.00,18.77,11.47,0.31,13.80,9.32,6.20,0.00,2443.00,0.00,73.56,-10.63,0.00,-112822.00,-134480.00,-5071.00
2023-07-09,-4.63,3.72,0.00,21.45,11.97,0.49,13.90,10.89,7.40,0.00,2084.00,0.00,63.16,-2.25,0.00,98255.00,-41719.00,-5994.00
2023-07-10,-9.64,0.00,0.00,31.25,11.62,0.35,15.90,12.97,10.60,0.00,0.00,0.00,0.00,9.10,0.00,297035.00,85310.00,1726.00
2023-07-11,-9.39,0.00,0.27,32.69,9.80,0.52,16.40,12.56,8.40,38.95,0.00,179.00,4.13,25.92,13611.00,898915.00,199412.00,1862.00
2023-07-12,-8.20,0.70,0.00,29.00,11.12,0.28,16.00,14.04,10.50,0.00,384.50,0.00,11.69,14.49,0.00,490037.00,142102.00,132.10
2023-07-13,-4.33,2.71,0.00,21.26,11.50,0.40,19.10,15.35,13.30,0.00,1443.00,0.00,45.76,-9.86,0.00,-137641.00,-117367.00,-7752.00
2023-07-14,-4.02,5.03,0.00,20.67,10.42,0.29,16.20,13.60,10.80,0.00,2788.00,0.00,86.10,-5.15,0.00,97379.00,-74966.00,-2945.00
2023-07-15,-7.91,0.84,0.00,28.16,11.45,0.51,11.80,9.68,7.50,0.00,593.70,0.00,17.97,2.88,0.00,152398.00,22528.00,489.70
2023-07-16,-8.11,1.51,0.00,26.98,12.02,0.44,13.60,11.85,9.50,0.00,1138.00,0.00,34.65,2.02,0.00,146102.00,12737.00,-8621.00
2023-07-17,-9.79,0.00,0.00,31.60,11.09,0.51,16.80,13.31,10.70,0.00,0.00,0.00,0.00,20.04,0.00,646919.00,200020.00,3401.00
2023-07-18,-7.39,0.65,0.00,29.93,10.76,0.25,14.30,10.57,6.80,0.00,357.10,0.00,10.44,16.08,0.00,556877.00,164086.00,-0.66
2023-07-19,-7.31,0.00,0.17,37.84,3.63,0.53,9.80,7.24,4.60,22.90,0.00,111.40,2.54,45.04,9407.00,1757018.00,82443.00,27358.00
2023-07-20,-4.23,2.56,0.00,28.31,8.49,0.22,13.20,7.77,3.60,0.00,1413.00,0.00,39.97,32.98,0.00,1157897.00,255884.00,-62.22
2023-07-21,-8.95,0.00,0.00,39.22,3.47,0.65,12.60,8.32,4.50,0.00,0.00,0.00,0.00,50.10,0.00,1976152.00,170973.00,22123.00
2023-07-22,-7.64,0.08,0.00,38.15,2.76,0.42,15.00,9.47,5.10,0.00,60.94,0.00,1.80,48.67,0.00,1883840.00,129125.00,13746.00
2023-07-23,-6.86,0.17,0.00,36.19,2.51,0.58,14.00,9.70,5.80,0.00,134.70,0.00,4.13,38.42,0.00,1435163.00,93765.00,11985.00
2023-07-24,-10.10,0.00,0.00,35.11,8.54,0.50,16.00,12.04,7.70,0.00,0.00,0.00,0.00,48.21,0.00,1685486.00,415057.00,24807.00
2023-07-25,-8.25,0.00,0.00,36.20,5.69,0.60,14.10,11.39,8.80,0.00,0.00,0.00,0.00,51.55,0.00,1882153.00,283550.00,26609.00
2023-07-26,-8.63,0.00,0.00,32.72,8.41,0.48,15.30,12.72,10.20,0.00,0.00,0.00,0.00,34.62,0.00,1174245.00,251630.00,10026.00
2023-07-27,-3.39,2.49,0.00,26.86,6.35,0.34,14.00,11.60,9.50,0.00,1436.00,0.00,43.98,18.89,0.00,625871.00,100908.00,4570.00
2023-07-28,-6.66,0.69,0.00,28.67,9.36,0.55,16.70,13.06,9.70,0.00,394.30,0.00,12.09,35.46,0.00,1019358.00,332319.00,8420.00
2023-07-29,-5.83,2.82,0.00,24.29,9.25,0.41,18.10,13.29,8.40,0.59,1791.00,2.38,57.93,4.32,16.07,301567.00,19311.00,-12712.00
2023-07-30,-2.79,6.00,0.00,16.30,11.57,0.37,16.20,12.52,7.20,0.00,3672.00,0.00,116.76,-10.32,0.00,81869.00,-134149.00,-10384.00
2023-07-31,-6.35,1.43,0.10,28.58,10.34,0.59,12.60,9.23,5.70,12.53,837.80,63.64,25.63,19.83,5692.00,708294.00,163070.00,3346.00
2023-08-01,-10.48,0.00,0.34,36.20,8.33,0.66,11.50,8.63,5.30,48.55,0.00,223.10,4.98,35.99,17744.00,1363850.00,206377.00,10202.00
2023-08-02,-6.04,2.23,0.15,33.32,4.07,0.48,15.70,9.98,5.40,18.67,1376.00,101.40,42.63,32.22,9462.00,1360309.00,99073.00,-1792.00
2023-08-03,-1.50,6.30,0.00,18.64,8.45,0.41,19.00,13.65,8.80,0.00,3550.00,0.00,109.91,-9.75,0.00,-113293.00,-86882.00,-5445.00
2023-08-04,-3.00,4.90,0.00,21.36,9.29,0.12,17.30,13.68,10.60,0.00,2677.00,0.00,81.91,-7.11,0.00,-61594.00,-59094.00,-551.50
2023-08-05,-9.77,0.00,0.00,32.67,8.55,0.71,15.30,11.71,8.70,0.00,0.00,0.00,0.00,19.02,0.00,667650.00,102948.00,1226.00
2023-08-06,-7.46,0.03,0.27,37.01,1.64,0.61,14.30,10.64,7.40,39.85,25.50,179.00,5.13,40.12,15441.00,1513788.00,53122.00,14228.00
2023-08-07,-7.14,0.00,0.50,39.60,0.32,0.69,15.10,9.34,5.10,71.46,0.00,334.00,7.73,54.82,28170.00,2176067.00,17350.00,34742.00
2023-08-08,-7.35,0.22,0.72,38.93,0.35,0.72,15.10,9.49,6.10,103.50,198.00,477.30,17.02,51.34,39826.00,2041682.00,18362.00,20909.00
2023-08-09,-3.03,2.49,0.22,25.66,6.43,0.57,13.90,8.86,3.00,12.25,1514.00,145.60,50.94,19.30,10021.00,608676.00,100713.00,3027.00
2023-08-10,-6.29,0.83,0.00,27.15,7.81,0.69,16.30,11.65,7.60,0.00,523.50,0.00,17.34,30.81,0.00,977143.00,187538.00,17074.00
2023-08-11,-7.54,0.00,0.02,32.89,6.67,0.40,16.10,11.36,8.00,1.19,0.00,12.48,0.35,51.13,1000.00,1701589.00,334355.00,14763.00
2023-08-12,-9.31,0.00,0.00,31.83,8.23,0.70,12.50,9.09,6.10,0.00,0.00,0.00,0.00,37.61,0.00,1222148.00,285575.00,16362.00
2023-08-13,-7.17,0.02,0.38,36.90,1.33,0.74,10.60,7.23,4.70,57.36,17.00,254.00,6.64,55.46,21698.00,2061349.00,71318.00,36638.00
2023-08-14,-8.78,0.00,0.75,41.09,0.40,0.82,11.20,6.48,2.30,111.00,0.00,498.00,11.29,68.85,48647.00,2808248.00,28072.00,63711.00
2023-08-15,-7.17,1.44,0.77,37.53,0.54,0.84,12.40,6.65,2.20,110.10,1375.00,512.50,52.36,51.44,49791.00,2077660.00,24653.00,12605.00
2023-08-16,-7.39,1.83,0.37,32.94,5.25,0.52,15.00,8.50,1.80,53.24,1492.00,245.80,50.24,42.87,20011.00,1582367.00,201581.00,5369.00
2023-08-17,-3.23,1.03,0.27,29.59,3.93,0.36,13.80,10.20,8.00,29.42,728.20,179.20,27.47,37.84,13434.00,1149359.00,147531.00,12586.00
2023-08-18,-2.69,5.26,0.00,21.67,7.76,0.59,12.50,9.19,7.00,0.00,3620.00,0.00,111.06,16.66,0.00,499818.00,145004.00,-2058.00
2023-08-19,-4.40,2.25,0.00,21.17,11.16,0.78,17.10,12.53,8.00,0.00,1495.00,0.00,48.28,11.75,0.00,384347.00,124622.00,-8242.00
2023-08-20,-6.25,1.94,0.21,25.92,7.85,0.79,17.20,12.91,8.80,32.43,1612.00,140.70,56.48,34.08,12070.00,983332.00,252268.00,1205.00
2023-08-21,-4.82,1.98,0.10,25.45,7.48,0.62,18.80,13.77,8.80,14.21,1330.00,63.16,44.77,38.79,5367.00,1135577.00,271992.00,6064.00
2023-08-22,-5.67,0.49,0.58,31.01,4.67,0.45,11.60,10.14,7.90,88.06,411.40,383.30,22.42,52.73,34556.00,1686227.00,227618.00,28446.00
2023-08-23,-6.73,0.73,0.48,28.91,7.40,0.69,14.80,10.67,6.90,75.07,513.00,319.70,24.07,51.25,27186.00,1580789.00,347666.00,13982.00
2023-08-24,-4.50,3.34,0.08,23.83,7.77,0.67,18.60,12.64,7.70,8.11,2160.00,52.46,70.68,48.58,5101.00,1373367.00,354144.00,3516.00
2023-08-25,-3.80,3.94,0.35,21.08,8.77,0.75,15.10,10.95,7.60,50.70,3042.00,233.00,103.68,46.23,19607.00,1139476.00,353570.00,20428.00
2023-08-26,-2.78,3.61,0.13,28.73,0.65,0.82,11.50,7.60,4.30,18.51,2957.00,85.53,97.06,57.48,10254.00,1810879.00,36893.00,17568.00
