date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2022-12-26,-0.17,-0.48,5.44,0.00,2.13,7.69,0.57,0.67,0.16,14.92,2.60,11.77,38.50,29.13,17.40,1520.00,4518.00,0.37,1511.00,3758.00,666.50,589.30,161.08,90.78,6273.00,24230.00,-375437.00,33.45,160504.00,707916.00,64289.00,81673.00,18544.00,1056805.00,76426.00,1231639.00
2022-12-27,-0.22,-1.59,4.95,0.01,2.56,9.07,1.41,1.05,0.15,24.46,3.28,11.33,40.70,34.65,27.50,1564.00,3501.00,11.64,1816.00,4509.00,1381.00,916.40,161.95,58.74,2258.00,-68176.00,-413356.00,3906.00,270030.00,654634.00,233392.00,163443.00,24054.00,907341.00,43501.00,160313.00
2022-12-28,-0.21,-5.28,2.53,0.00,1.67,2.39,0.00,0.01,0.12,23.84,1.99,11.20,25.50,19.33,14.10,311.80,1833.00,0.00,1184.00,1131.00,3.40,7.42,56.42,36.80,-7265.00,-200717.00,-89087.00,0.00,19527.00,176387.00,75.73,1627.00,8145.00,505802.00,-80556.00,-469276.00
2022-12-29,-0.17,-3.42,1.05,0.00,1.68,2.01,0.00,0.00,0.09,18.94,2.69,12.05,23.60,17.42,11.90,95.46,885.20,0.00,1193.00,951.50,3.39,0.00,57.33,33.01,-5704.00,-164006.00,-54937.00,0.00,-11786.00,140574.00,23.89,0.00,3387.00,453513.00,-117867.00,-577689.00
2022-12-30,-0.16,-3.84,0.17,0.00,1.46,2.83,0.00,0.00,0.15,19.24,3.30,12.16,27.60,19.72,14.10,15.75,142.70,0.00,1031.00,1342.00,3.39,0.00,60.72,65.27,-3375.00,29155.00,-13051.00,0.00,33098.00,243316.00,148.90,0.00,10444.00,1284786.00,-26979.00,-202475.00
2022-12-31,-0.18,-3.34,0.96,0.00,1.50,4.32,0.15,0.00,0.13,17.85,3.59,11.90,31.70,22.73,13.50,197.00,904.30,0.00,1063.00,2044.00,132.80,1.52,82.18,74.06,1724.00,97404.00,-113501.00,0.00,68135.00,426052.00,17798.00,-92.13,12511.00,1220052.00,91813.00,173472.00
2023-01-01,-0.18,-0.57,2.12,0.00,2.01,5.02,0.49,0.69,0.12,16.64,4.26,11.53,36.20,27.75,18.50,313.70,1791.00,0.20,1422.00,2380.00,454.80,603.50,119.24,74.54,1961.00,48708.00,-91374.00,14.29,126778.00,498002.00,62576.00,75376.00,12684.00,1357510.00,117113.00,375931.00
2023-01-02,-0.19,-3.81,3.00,0.00,1.44,3.53,0.00,0.00,0.15,19.66,3.69,12.10,29.50,23.08,16.60,524.70,2472.00,0.00,1023.00,1674.00,3.40,0.00,66.53,40.78,-6962.00,-111992.00,-160079.00,0.00,18681.00,253805.00,106.30,0.00,10757.00,618903.00,-88429.00,-450904.00
2023-01-03,-0.19,-3.36,2.96,0.00,1.67,0.38,0.42,0.00,0.12,20.90,2.74,10.73,24.00,18.89,15.40,281.10,2687.00,0.00,1180.00,178.90,334.50,1.59,45.87,24.46,-5642.00,-168249.00,-212389.00,0.00,-7081.00,36669.00,33308.00,65.48,4105.00,278322.00,-109105.00,-536738.00
2023-01-04,-0.18,-5.02,0.09,0.00,1.97,0.00,0.00,0.00,0.11,27.01,2.09,10.10,22.40,17.13,14.10,4.10,82.21,0.00,1398.00,0.00,3.40,1.63,33.99,-22.01,-7820.00,-228193.00,-3188.00,0.00,-59536.00,0.00,-114.10,-113.60,-2750.00,-630778.00,-111148.00,-585231.00
