date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biogas) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biogas) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-06-07,-1.25,-1.28,85.54,242.40,0.00,0.26,0.23,1.68,19.29,3.53,0.45,1.30,1.00,37.71,133.40,19.20,31.74,102304.00,223126.00,0.00,47.14,225.10,1189.00,12026.00,3017.00,392.90,909.70,596.73,55.72,4004.00,48865.00,748529.00,20317475.00,0.00,23082.00,25127.00,5707.00,1816177.00,324981.00,-960.60,104867.00,34640.00,1647297.00,2336713.00,852437.00,1355700.00
2023-06-08,-1.26,-1.07,85.45,252.60,0.00,0.43,0.06,0.99,15.24,2.95,0.00,1.35,1.12,41.62,129.30,24.72,31.42,102192.00,232638.00,0.00,77.24,61.08,700.10,10072.00,2175.00,0.00,949.80,596.44,69.03,8326.00,93602.00,890935.00,25250381.00,0.00,46529.00,6048.00,7461.00,1709511.00,314402.00,0.00,132225.00,68939.00,2347680.00,3827436.00,1801240.00,1965764.00
2023-06-09,-1.20,-3.23,89.33,240.60,0.00,0.58,0.08,0.84,18.76,5.53,0.76,1.44,0.94,43.28,119.40,26.57,43.73,106654.00,221439.00,0.00,104.30,81.81,597.00,11496.00,3889.00,667.30,1006.00,588.91,72.81,14705.00,60799.00,3955382.00,22142034.00,0.00,47241.00,8972.00,113912.00,2222875.00,739636.00,137490.00,122010.00,104022.00,2877074.00,4882032.00,677259.00,809811.00
2023-06-10,-1.13,-5.28,94.68,243.10,0.00,0.60,0.01,0.05,20.80,5.51,1.15,1.49,0.94,48.01,74.80,32.15,43.58,112984.00,223629.00,0.00,108.30,16.89,35.40,11349.00,4044.00,1007.00,1028.00,631.99,81.47,41019.00,119339.00,4752002.00,23424615.00,0.00,46925.00,2635.00,13812.00,2756309.00,811945.00,198508.00,121723.00,143287.00,3001591.00,3624188.00,939975.00,786905.00
2023-06-11,-0.93,-3.03,101.00,247.10,0.00,0.74,0.00,2.37,19.22,6.01,0.54,1.48,0.75,55.27,49.69,27.94,38.88,120406.00,227564.00,0.00,133.00,0.00,1435.00,10650.00,4360.00,474.70,1026.00,669.15,96.69,52730.00,142237.00,7992425.00,26389485.00,0.00,70140.00,0.00,265131.00,2313890.00,824273.00,91508.00,139101.00,103702.00,4277937.00,4138801.00,1753281.00,2104671.00
2023-06-12,-0.96,-0.67,77.50,253.70,0.00,0.70,0.35,0.98,15.92,5.87,0.00,1.43,0.66,47.41,106.90,24.06,33.65,92896.00,234421.00,0.00,126.70,354.00,696.40,10645.00,4191.00,0.00,997.80,606.73,147.45,8228.00,63799.00,1188887.00,51024274.00,0.00,194801.00,546902.00,-1496.00,6877088.00,4905166.00,0.00,414011.00,126938.00,4909094.00,3054553.00,1816387.00,1615205.00
2023-06-13,-1.31,-1.59,79.29,254.80,0.00,0.63,0.34,1.16,19.08,4.71,0.70,1.31,1.15,47.40,132.30,24.21,36.01,94856.00,236070.00,0.00,114.30,334.90,821.00,12045.00,3477.00,614.70,913.60,581.90,88.42,18860.00,126059.00,3773396.00,29029047.00,0.00,68104.00,58715.00,64366.00,2329917.00,602043.00,93218.00,140648.00,150937.00,3835712.00,6507768.00,1818628.00,2219789.00
2023-06-14,-1.44,-4.65,87.33,255.50,0.00,0.52,0.00,0.81,19.47,6.31,1.30,1.28,1.17,53.05,116.20,27.56,41.83,104432.00,234717.00,0.00,93.27,0.00,574.00,12046.00,4606.00,1135.00,894.20,591.34,75.31,29308.00,80238.00,5235270.00,21339377.00,0.00,34005.00,0.00,97594.00,1994774.00,841632.00,171791.00,82215.00,159821.00,4077925.00,7040141.00,688006.00,884388.00
2023-06-15,-1.39,-2.36,83.54,265.90,0.00,0.28,0.00,1.43,18.08,4.78,0.69,1.21,1.19,50.70,125.60,26.27,39.81,100010.00,243492.00,0.00,50.48,0.00,1012.00,10732.00,3314.00,605.70,845.10,584.76,71.47,6322.00,55536.00,3251405.00,23789743.00,0.00,19006.00,0.00,86614.00,1798999.00,587841.00,80679.00,81856.00,122237.00,3572792.00,5292723.00,868735.00,1057662.00
2023-06-16,-1.49,-2.65,72.65,266.30,0.00,0.55,0.00,1.08,12.92,3.46,0.00,1.07,0.97,36.11,137.50,29.93,46.63,87751.00,243987.00,0.00,98.45,0.00,764.70,8704.00,3115.00,0.00,743.30,570.49,47.12,-32481.00,112051.00,-1580760.00,22852676.00,0.00,43192.00,0.00,-43596.00,1223065.00,219647.00,0.00,80431.00,26613.00,1347204.00,-1620576.00,1030446.00,538343.00
